Date,InletT-Avg,OutletT,InletFlow,FGFlow,AmbientT,ExcessO2,DraftP,Density
5151,294.4839126400384,385.64937389383573,92.98021274518123,868.7819977657786,31.111645954045063,7.4152716746467044,-12.903288775377144,0.869
5152,294.5248044695253,385.5838024571675,92.99453386866026,870.239534573361,31.56648574330955,7.605640538403244,-13.06905426682327,0.869
5153,294.7837786028041,385.4789694662967,92.99980964122291,869.3480901382574,32.05288244595539,9.487817958774922,-13.080913349561955,0.869
5154,294.99797908139067,385.46728052079413,92.99628358153123,865.1445275956941,32.16305431277097,13.305165864674787,-12.809413055903015,0.869
5155,295.2607283972894,385.3937016297305,92.99087742674219,863.8409359188274,32.050836573648304,11.59387151233014,-13.18345498512756,0.869
5156,295.0335994982772,385.35425209768687,93.01684553523242,864.7246362888856,31.703147734679963,9.007981653065961,-13.240733970359498,0.869
5157,294.7881099881423,385.36540238976613,93.00045504404481,867.5519511703628,31.404036177606475,7.065064559217752,-13.191664880533473,0.869
5158,294.5650544545205,385.4412090622498,92.98954050597644,869.3197216340221,31.09649317970536,6.498311952514698,-13.39469593718532,0.869
5159,294.18597328622315,385.5248460248925,93.00524019974078,873.3909524666664,30.88060578179436,6.438957881119481,-13.296461086220313,0.869
5160,294.05529648291406,385.575457443802,92.99467829476238,875.6834955508994,30.584924579815468,2.885559774708427,-13.522037594757593,0.869
5161,292.5718185150221,385.57020865821494,93.01251842068719,893.1584101032216,29.94881514883304,0.4227449960046933,-13.13748994910555,0.869
5162,291.6911154827626,385.7421059610918,93.02307479863371,901.1386872709604,29.32865365411998,5.572429246725664,-12.757790783783548,0.869
5163,292.11918178567555,385.68394522159116,93.01152824299722,891.7937323047757,28.933255706114934,6.929511566585148,-12.916239319596352,0.869
5164,292.5941615452256,385.6316656323418,93.02996769026473,886.1978919259368,28.636676293851682,8.840478283377609,-12.76586692966516,0.869
5165,293.39314674889135,385.0070832620557,90.54600734226953,861.046312329106,28.504563540575134,8.541853000477667,-12.997023705000498,0.869
5166,292.24153325987186,383.71883383258626,83.58330011017735,820.6219454585251,28.405083794775344,7.565633202636815,-12.977087506621148,0.869
5167,288.3099421027045,382.01745245340356,76.54940606766742,799.4353114115571,28.259393218172214,7.596693298194013,-12.94219876399566,0.869
5168,282.77066228627797,381.0254144538191,68.76827465309545,796.2425477761068,28.191587502102802,9.641925505202765,-12.843364958455338,0.869
5169,275.5431378677134,380.8510424498781,64.16384709605587,822.9069719836384,28.14036994562261,9.012238842028355,-12.86829796311613,0.869
5170,272.3056715477852,380.75850688296384,62.84459225707171,838.0038076621322,28.136697143291634,7.388124354706642,-12.72966093457683,0.869
5171,271.4691958519911,380.2073669216805,63.22813064873632,833.8700704244112,28.204720484516223,7.651364894049885,-12.827894860020793,0.869
5172,272.2682343121299,379.54574452279877,62.80135482330857,811.9523093119029,28.345486383027282,5.841388663764432,-13.934037850588938,0.869
5173,273.89417128510104,379.49792701839584,62.735569833023135,793.1104463754959,28.305368580669533,3.7943629521447857,-14.316578608528278,0.869
5174,274.8639840800088,379.6231487661112,62.556650279224044,784.8305588854016,28.126927677787275,3.9552685021616707,-14.286409801492159,0.869
5175,274.67029021922826,379.7637527577543,62.56033426183059,789.3537574519078,27.989759059410765,3.3430622818817843,-14.089157495802429,0.869
5176,274.1887774099382,379.9993407804,62.58214674257104,794.5156736215598,27.96853193485936,3.482070581822724,-14.140040829510468,0.882
5177,274.07854473366115,380.17348587945196,62.61055255465321,796.035864462733,27.87844801277746,1.908955614729722,-14.172168225352019,0.882
5178,273.47874660725245,380.21048160352984,62.699959093475684,802.4139931581074,27.669094613419336,0.4149175035445285,-14.257634105158646,0.882
5179,273.0608085490386,380.29590132116357,62.45534103512763,804.9922537731998,27.52300395452035,1.9878240186200424,-14.328304724914897,0.882
5180,272.2279622000967,380.3378120482557,62.41010730737685,813.4717909334604,27.395143357167147,3.0914325826608327,-13.913972325902293,0.882
5181,271.46155006765264,380.33709499878086,62.01912929696768,816.5302085648067,26.889402427373366,0.7983390670447151,-13.406208336087573,0.882
5182,271.13967672957097,380.2439467820332,62.08244924096302,819.1339425014498,26.358601303504955,4.180316091182604,-13.509085167674609,0.882
5183,271.04382417396107,380.2144953795466,62.03480239983723,816.8638654176018,26.128325313283067,4.233630967723811,-13.53660530049871,0.882
5184,271.55178031025844,380.2241621009733,61.14647272460105,807.3720888481465,25.97811442294151,4.212193783205457,-13.65469806769074,0.882
5185,271.4448462649458,380.0855253976451,60.238839686897784,802.790580515839,25.871229966346654,5.0077881231138095,-13.746390916655756,0.882
5186,271.406465422166,380.1401204521574,60.181537930194075,801.0993033089493,25.911044676490715,6.046084333493817,-13.787784920169399,0.882
5187,271.47297787732106,380.13516090474616,60.05185626685249,800.918762947516,25.883374984195704,6.874183347964454,-13.891986936622137,0.882
5188,271.5684568887791,380.2006152218692,59.87320281547614,796.8178277195,25.959369279960228,6.0518345349764475,-13.898148056362286,0.882
5189,271.5440901733476,380.23256964011375,60.00115233253422,799.6303992199207,25.88732923451263,7.774333809744702,-13.92389921502218,0.882
5190,271.4388682925091,380.23747953030806,59.968037674516594,801.5012210514227,25.88859108721663,9.12481228656935,-13.867824879327033,0.882
5191,271.36838806152394,380.21309724810936,60.01751846144467,800.2146191638434,25.966317379565613,8.268308402571948,-13.824606778574607,0.882
5192,271.3020523280006,380.19043619152444,60.011442153383534,801.0937942101408,25.99487672380028,9.067834411654635,-13.87531220036819,0.882
5193,271.1543431201323,380.6074053166983,60.14155875210251,805.1536345366181,26.04647279620746,9.184420691382005,-13.791899453521252,0.882
5194,271.62447693053434,380.98370037341766,60.050095045315764,804.5950579405094,26.1098069323,11.525852557865882,-13.947046826525678,0.882
5195,271.84819729026594,381.007740646269,60.15971413037566,802.9349764452543,26.524558286528702,11.537898782385671,-13.926699903359543,0.882
5196,272.08976473025496,380.99568390797333,60.17246923446183,799.7718010904596,27.359711706688646,8.290070819248331,-13.652557532864023,0.882
5197,272.25151679943514,381.65834741679595,61.13040624417543,813.6133377317294,28.67763139711089,6.810900698733388,-13.607123713005711,0.882
5198,273.79309488992226,381.8793566882138,61.11402331571299,802.4707268703503,30.148534156379377,6.709256529742371,-13.393930808236545,0.882
5199,274.31973074147106,381.82634591836944,60.88845873904366,798.9371421844297,30.79960673528326,5.515089963070031,-13.47372446437765,0.882
5200,274.21803682710197,381.82133593230384,61.13250423564478,800.9565281970988,30.772546456180386,6.413891616492582,-13.435082239591337,0.882
5201,274.5420913880075,382.60973943399347,60.998917140554454,803.3061146457684,31.10115846517875,7.4872659666293595,-13.504404399287797,0.882
5202,275.4284061245553,383.48048204923,60.90499357790202,802.5539046783722,31.296758038474362,7.150782954949883,-13.40103755860363,0.882
5203,275.48326677299633,383.57801890938083,61.00205507291749,803.5699310109923,30.93391498544464,9.05825214262105,-13.574382829224891,0.882
5204,276.06522992261444,383.5821777431073,60.9723320486508,798.3912015056138,30.72952717881316,7.027057663689032,-13.660245318064746,0.882
5205,276.34160062988565,383.54170538614693,61.22831156439425,799.3969307791671,30.308994823759505,10.769578722790254,-13.798176817701508,0.882
5206,276.7873784495829,383.5720301783684,61.20290845903176,794.9434358791904,29.826498884339884,11.62703070509412,-13.642458931603931,0.882
5207,276.514865173889,383.45966777560034,61.252732162254034,796.571833204715,29.413876304045328,9.907873475874668,-13.657026088846228,0.882
5208,276.3405227185837,383.49331777975897,61.221725133638124,797.1744917185624,29.055146487838744,9.0247085119098,-13.685677663465658,0.882
5209,276.1582043236129,383.5260735240327,61.24934730774079,801.3010874827206,28.807646134299805,8.716822799016837,-13.621290475598078,0.882
5210,276.0702048506837,383.46026544521743,61.33032507167599,810.9070863097882,28.638752870518076,9.500687065353496,-13.758652999575306,0.882
5211,275.91263581311557,384.0200685369169,61.28418191919165,817.4127771180944,28.497230581228962,9.720843109326015,-13.74469545387749,0.882
5212,276.41599089765714,384.46915265799737,61.31395023825648,810.6392914087025,28.387583112082954,8.404919496971171,-13.59027225800626,0.882
5213,276.53811809581543,384.3744319229503,61.3814793085033,803.6621839377756,28.191485052441532,9.079002235831704,-13.76037793114502,0.882
5214,276.67328161787,384.3564540980826,61.31254142517993,802.8370489984462,27.985169143556618,11.659834650030227,-13.832518736614004,0.882
5215,276.71656877589135,384.34525588273146,61.29890331003223,802.1241649589504,27.838065971772924,8.306657910129625,-13.478662936659756,0.882
5216,276.09526276567203,384.76343078159755,61.695356883690444,814.2999861000799,27.587834357220714,5.569844038743351,-13.523847929447314,0.882
5217,276.8098758108622,385.19169124578855,61.96507507630176,813.7734992562155,27.385336777867884,7.830912694248618,-13.741195729018484,0.882
5218,276.95592605605515,385.2268529359756,61.92061647247635,812.5224772068397,27.317153063754684,9.135956321462377,-13.833508845921498,0.882
5219,277.1455621178792,385.45934298296083,62.215474587205414,815.2464254578291,27.85994921098947,9.38183180737082,-13.85144075274734,0.882
5220,278.2677919932398,386.09928942649697,62.109669433834384,805.9608436435058,28.422019123319732,8.170255761735364,-13.747000881459389,0.882
5221,278.77781574961153,386.02653202301224,62.050806493081254,804.4684973243586,28.873638873339885,5.999586234707986,-13.66717483571215,0.882
5222,279.0660625334399,386.1318661557274,62.13193509689723,801.5152745365415,29.254427693967468,6.148431423081862,-13.656594322860235,0.882
5223,279.0092799319989,386.0752411033648,61.90761505261085,802.5312386723496,29.15159200233252,6.6528825991190725,-13.861800884307032,0.882
5224,278.85642614026574,386.05823991254084,62.01493094646919,801.789046176262,29.380448679580883,5.894120900360046,-13.684768584999818,0.882
5225,278.94705775918493,386.18086923359175,62.67865341355368,807.4569805705646,29.552779618538537,6.2709428818224895,-13.598060577828255,0.882
5226,279.84323590588906,386.1028052576904,62.6329705586749,801.3143840055151,30.032920282516674,7.121855489243906,-13.53257937960929,0.882
5227,280.63105628299337,386.1222163206125,61.93261389687149,790.0107135835185,31.00418068950638,7.598036598070022,-13.51761271382793,0.882
5228,280.64329877497687,386.00505834102023,61.54081660606379,786.3098113171786,31.366865901943175,6.65515070247927,-13.700326989643179,0.882
5229,279.500078568587,386.079207752949,61.67550918049921,795.5127928248099,30.642525511310527,6.815284533771916,-13.722481165254454,0.882
5230,279.4381533542269,386.2419918376567,61.775621542207,797.6076367855003,29.957847899190327,4.350832503842795,-13.738689002825344,0.882
5231,278.87458247464417,386.3364007260257,61.81470402538108,802.0208180292624,29.09861112780567,5.231942578805561,-13.875795201482266,0.882
5232,278.6708301003523,386.78157637958867,62.06681169225152,810.6032531882437,28.549153644832224,5.485536974363018,-13.81960142689047,0.882
5233,279.3285938046238,387.13668061604386,62.21319793428104,810.2790731633178,28.141387463005852,7.534136459509175,-13.690062177416928,0.882
5234,279.49050655314784,387.02182024387895,62.216795302857356,808.5930944763707,27.97069061181405,7.712236572759423,-13.492279490868,0.882
5235,279.47364535884986,386.9245477427709,62.19347848845544,807.6325096582423,27.795720041257955,5.938269420631333,-13.552912364170071,0.882
5236,280.0474948819746,386.9153677718288,62.09644561398694,800.4890043727539,27.665423224572805,6.487380859494442,-13.480062329808797,0.882
5237,280.20053087947434,386.78708000457283,62.286718614854,802.6381089855761,27.517170810258495,5.8836275755372505,-13.46754598381815,0.882
5238,280.52833729384713,386.7977455679328,62.216262950080015,798.2326253215556,27.381262171041282,4.958438798113732,-13.56862387097424,0.882
5239,280.68142801232534,386.8478247729102,62.354012502818456,797.2728183100096,27.38624514682009,7.7505241887226,-13.822148067432979,0.882
5240,281.13830806495264,386.6354012464842,62.42479962203442,801.8032938737907,27.34582690885139,10.267201553995287,-13.273442751508428,0.882
5241,281.1912141895896,388.70351676423525,63.75926300193482,853.0037790357974,27.42579949898356,10.32122789460291,-11.962597762694697,0.882
5242,284.2642259592169,391.8678137251483,68.54732082461817,903.3767074495129,27.573639403630622,8.37083901803946,-11.926495500481495,0.882
5243,286.0197087498735,393.99319748275815,76.19266892811166,964.5314794379053,27.908650942592164,8.850376409103628,-11.847603713008885,0.882
5244,288.13913646973185,395.8462343444375,84.00251129381559,1006.6256767094966,28.665136953753326,9.88776551576081,-11.333705834202393,0.882
5245,292.6533555394087,395.6829363051881,91.24852762906245,1031.281174019228,29.606090333939086,6.370169037750043,-10.31212934859882,0.882
5246,297.7781704716234,395.76914840760054,93.06990052901277,983.01888301646,30.281561624316485,7.237472074500433,-10.701800721476593,0.882
5247,300.06742862056524,395.43679873292365,93.01139698981609,952.3705648611159,30.884736392368215,7.545721926525327,-11.247753002070757,0.869
5248,300.93532928458023,395.4200848399242,92.96746376666933,940.1015331436016,31.631906751261496,7.1862491433034625,-11.33012960498418,0.863
